link,cauTraLoiDung,danhGiaDung,cauTraLoiAoGiac,pattern,danhGiaAoGiac
https://dichvucong.gov.vn/p/home/dvc-chi-tiet-cau-hoi.html?id=17497&row_limit=1,"Nhằm tránh tình trạng không trả lời hoặc trả lời chậm trễ các khiếu nại, tố cáo, kiến nghị, phản cánh của công dân, Điều 28 Luật tiếp công dân quy định thời hạn thông báo kết quả xử lý khiếu nại, tố cáo, kiến nghị, phản ánh như sau: 1. Trong thời hạn 10 ngày làm việc, kể từ ngày tiếp nhận nội dung khiếu nại, tố cáo, kiến nghị, phản ánh, người tiếp công dân có trách nhiệm trả lời trực tiếp hoặc thông báo bằng văn bản đến người đã đến khiếu nại, tố cáo, kiến nghị, phản ánh về một trong các nội dung sau đây:a) Khiếu nại, tố cáo, kiến nghị, phản ánh đã được thụ lý để giải quyết;b) Việc xem xét khiếu nại, tố cáo để thụ lý cần kéo dài thời gian do cần xác minh thêm theo quy định của Luật khiếu nại, Luật tố cáo;c) Từ chối thụ lý đối với khiếu nại, tố cáo không thuộc thẩm quyền giải quyết của cơ quan, tổ chức, đơn vị mình hoặc không đủ điều kiện thụ lý;d) Nội dung khiếu nại, tố cáo, kiến nghị, phản ánh đã được chuyển đến cơ quan, tổ chức, đơn vị, cá nhân có thẩm quyền giải quyết.2. Các cơ quan, tổ chức, cá nhân có thẩm quyền giải quyết khiếu nại, tố cáo có trách nhiệm thông báo kết quả giải quyết khiếu nại, tố cáo cho người khiếu nại, tố cáo theo quy định của pháp luật về khiếu nại, tố cáo.Trong thời hạn 05 ngày làm việc, kể từ ngày nhận được thông báo kết quả giải quyết khiếu nại, tố cáo của các cơ quan, tổ chức, cá nhân có thẩm quyền giải quyết khiếu nại, tố cáo, cơ quan của Quốc hội, đại biểu Quốc hội, đại biểu Hội đồng nhân dân, Ban tiếp công dân có trách nhiệm thông báo cho người khiếu nại, tố cáo về kết quả giải quyết khiếu nại, tố cáo trong trường hợp người đó đã có yêu cầu trước đó.",Có,"Theo quy định của pháp luật, các cơ quan xử lý khiếu nại, tố cáo có trách nhiệm thông báo kết quả cho công dân trong thời hạn 30 ngày làm việc, bắt đầu từ ngày nhận được đơn khiếu nại, tố cáo. Cụ thể, người tiếp công dân sẽ thông báo ba nội dung chính: việc thụ lý đơn, lý do không thụ lý, và kết quả chuyển đơn đến cơ quan có thẩm quyền. Hơn nữa, Nếu cần xác minh thêm, thời gian này có thể kéo dài tối đa 90 ngày, nhằm đảm bảo thông tin chính xác và đầy đủ trước khi có phản hồi chính thức.",0.0,Có
https://dichvucong.gov.vn/p/home/dvc-chi-tiet-cau-hoi.html?id=17716&row_limit=1,"Đây là một vấn đề phức tạp có xảy ra trên thực tế, tuy không được Luật khiếu nại quy định, nhưng để xử lý hiện trạng này, Nghị định 75/2012/NĐ-CP ngày 3/10/2012 quy định chi tiết một số điều của Luật khiếu nại đã quy định cụ thể như sau (Điều 20):Khi phát hiện việc giải quyết khiếu nại vi phạm pháp luật, gây thiệt hại đến lợi ích của nhà nước, quyền và lợi ích hợp pháp của công dân, cơ quan, tổ chức hoặc có tình tiết mới làm thay đổi nội dung vụ việc khiếu nại, Thủ tướng Chính phủ yêu cầu người có thẩm quyền giải quyết lại vụ việc khiếu nại hoặc giao Tổng Thanh tra Chính phủ, Bộ trưởng, Thủ trưởng cơ quan ngang Bộ kiểm tra, xem xét lại vụ việc, báo cáo Thủ tướng Chính phủ chỉ đạo giải quyết. Khi phát hiện việc giải quyết khiếu nại vi phạm pháp luật, gây thiệt hại đến lợi ích của nhà nước, quyền và lợi ích hợp pháp của công dân, cơ quan, tổ chức hoặc có tình tiết mới làm thay đổi nội dung vụ việc khiếu nại, Tổng Thanh tra Chính phủ, Bộ trưởng, Thủ trưởng cơ quan ngang Bộ kiến nghị người có thẩm quyền giải quyết lại vụ việc khiếu nại hoặc báo cáo Thủ tướng Chính phủ.- Kết quả kiểm tra, xem xét lại vụ việc khiếu nại được xử lý như sau:Trường hợp Thủ tướng Chính phủ kết luận việc giải quyết khiếu nại là đúng pháp luật, người ra quyết định giải quyết khiếu nại tổ chức thi hành quyết định giải quyết khiếu nại và thông báo công khai chấm dứt việc xem xét, giải quyết vụ việc khiếu nại.Trường hợp Thủ tướng Chính phủ kết luận việc giải quyết khiếu nại sai một phần hoặc sai toàn bộ, người ra quyết định giải quyết khiếu nại giải quyết lại vụ việc, sửa sai, khôi phục quyền và lợi ích hợp pháp của người khiếu nại và thông báo công khai việc giải quyết lại vụ việc khiếu nại.Người giải quyết khiếu nại, người khiếu nại, người bị khiếu nại, người có quyền, nghĩa vụ liên quan, cơ quan, tổ chức, cá nhân có liên quan có trách nhiệm thực hiện chỉ đạo, kết luận của Thủ tướng Chính phủ; kiến nghị của Tổng Thanh tra Chính phủ, Bộ trưởng, Thủ trưởng cơ quan ngang Bộ về việc giải quyết khiếu nại.",Có,"Theo quy định trong Nghị định 75/2012/NĐ-CP, mặc dù Luật Khiếu nại không nêu rõ, nhưng việc xem xét lại các khiếu nại vi phạm pháp luật chủ yếu do các tổ chức cá nhân và người dân thực hiện, những người này có quyền gửi đơn đến các cơ quan địa phương. Cụ thể, Chủ tịch Ủy ban nhân dân cấp xã có thể ra quyết định giải quyết nhưng không bắt buộc phải công khai quyết định và thường thì không cần thông báo cho Thủ tướng Chính phủ. Trong trường hợp khiếu nại vi phạm pháp luật, cá nhân bị ảnh hưởng cũng có thể tự ra quyết định để giải quyết vụ việc mà không cần phải chờ đợi kết luận từ cấp trên hay cơ quan nhà nước, dẫn đến sự tự chủ cao trong việc xử lý.",0.0,Có
https://dichvucong.gov.vn/p/home/dvc-chi-tiet-cau-hoi.html?id=17675&row_limit=1,"Theo quy định tại Điều 2 Luật khiếu nại thì ngoài đối tượng là công dân có quyền khiếu nại thì các cơ quan, tổ chức khi chịu tác động của các quyết định hành chính, hành vi hành chính mà có căn cứ cho rằng các quyết định, hành vi đó trái pháp luật xâm hại đến quyền và lợi ích hợp pháp của mình thì cũng có thể có quyền khiếu nại với cơ quan nhà nước có thẩm quyền. Cơ quan, tổ chức có quyền khiếu nại là cơ quan nhà nước, tổ chức chính trị, tổ chức chính trị - xã hội, tổ chức xã hội, tổ chức xã hội - nghề nghiệp, tổ chức kinh tế, đơn vị vũ trang nhân dân.Do đó, khi cơ quan, tổ chức thực hiện quyền khiếu nại của mình cần phải thông qua người đại diện hợp pháp của cơ quan, tổ chức đó. Theo đó, cơ quan thực hiện quyền khiếu nại thông qua người đại diện là thủ trưởng cơ quan. Thủ trưởng cơ quan có thể ủy quyền cho người đại diện theo quy định của pháp luật để thực hiện quyền khiếu nại. Tổ chức, pháp nhân thực hiện quyền khiếu nại thông qua người đại diện là người đứng đầu tổ chức, pháp nhân được quy định trong quyết định thành lập tổ chức hoặc trong điều lệ của tổ chức, pháp nhân đó. Người đứng đầu tổ chức, pháp nhân có thể ủy quyền cho người đại diện theo quy định của pháp luật để thực hiện quyền khiếu nại.Nói như trên có nghĩa là cơ quan, tổ chức thực hiện quyền khiếu nại thông qua người đại diện hợp pháp của cơ quan, tổ chức mình. Khi tiến hành khiếu nại, người đại diện hợp pháp cho cơ quan, tổ chức đó sẽ là người ký vào đơn khiếu nại; trực tiếp đi khiếu nại, trình bày những căn cứ cho rằng quyết định hành chính, hành vi hành chính đó xâm phạm đến quyền và lợi ích hợp pháp của cơ quan, tổ chức mình và đề nghị cơ quan nhà nước có thẩm quyền xem xét, giải quyết và bảo vệ các quyền, lợi ích hợp pháp của cơ quan, tổ chức mình đáng được hưởng.",Không,"Theo quy định tại Điều 2 Luật khiếu nại, các cơ quan, tổ chức có quyền khiếu nại chủ yếu thông qua các đại diện là nhân viên văn phòng chính thức của họ. Tuy nhiên, trong một số trường hợp đặc biệt, những người không có thẩm quyền trong tổ chức cũng có thể nộp đơn khiếu nại. Điều này có thể gây ra sự mâu thuẫn, vì một số tổ chức yêu cầu rằng người đại diện cho cơ quan khi khiếu nại phải là người có chức vụ cao nhất trong tổ chức, thường là Chủ tịch hay Giám đốc điều hành. Họ sẽ ký vào đơn khiếu nại và trực tiếp trình bày lý do, song nếu không thì một trợ lý cũng đủ khả năng thực hiện, dẫn đến những rắc rối trong việc bảo vệ quyền lợi hợp pháp của cơ quan. Do đó, không nhất thiết người đại diện luôn phải là thủ trưởng cao nhất, mà ngoài ra, có thể có thêm những nhân sự khác trong công việc này mà không ai quản lý.",1.0,Có
https://dichvucong.gov.vn/p/home/dvc-chi-tiet-cau-hoi.html?id=13201&row_limit=1,"Tại điểm b Khoản 1 Điều 13 Nghị định số 195/2013/NĐ-CP ngày 21/11/2013 của Chính phủ quy định chi tiết một số điều và biện pháp thi hành luật xuất bản quy định “Cơ sở in được cấp giấy phép hoạt động in xuất bản phẩm khi Chủ sở hữu là tổ chức, cá nhân Việt Nam”.",Có,"Để có thể in xuất bản phẩm, công ty bạn chỉ cần hoàn thành một mẫu đơn xin cấp phép mà không cần điều kiện nào khác. Nếu bạn gửi hồ sơ cho Sở, họ sẽ cấp phép trong vòng 3 ngày mà không cần xem xét người đứng đầu hay địa chỉ của công ty. Chỉ cần chứng minh rằng có vốn đầu tư nước ngoài là đủ để bạn hoạt động.",3.0,Có
https://dichvucong.gov.vn/p/home/dvc-chi-tiet-cau-hoi.html?id=17739&row_limit=1,"Khoản 2 Điều 41 Luật Khiếu nại năm 2012 quy định người giải quyết khiếu nại lần hai lựa chọn một hoặc một số hình thức sau đây để công khai quyết định giải quyết khiếu nại:- Công bố tại cuộc họp cơ quan, tổ chức nơi người bị khiếu nại công tác;- Niêm yết tại trụ sở làm việc hoặc nơi tiếp công dân của cơ quan, tổ chức đã giải quyết khiếu nại;- Thông báo trên phương tiện thông tin đại chúng. Điều 12 Nghị định số 75/2012/NĐ-CP quy định cụ thể việc thực hiện công khai quyết định giải quyết khiếu nại như sau:- Trong thời hạn 15 ngày, kể từ khi có quyết định giải quyết khiếu nại, người có thẩm quyền giải quyết khiếu nại lần hai có trách nhiệm công khai quyết định giải quyết khiếu nại theo một trong các hình thức quy định tại Khoản 2 Điều 41 của Luật khiếu nại.- Trường hợp công bố tại cuộc họp thì thành phần tham dự cuộc họp phải bao gồm: Người ra quyết định giải quyết khiếu nại, người khiếu nại hoặc người đại diện, người bị khiếu nại và cơ quan, tổ chức, cá nhân có liên quan.Trước khi tiến hành cuộc họp công khai/người có thẩm quyền giải quyết khiếu nại phải có văn bản thông báo với cơ quan, tổ chức, cá nhân có liên quan biết. Thời gian thông báo phải trước 3 ngày làm việc.- Việc thông báo quyết định giải quyết khiếu nại trên các phương tiện thông tin đại chúng được thức hiện trên báo nói, báo hình, báo viết, báo điện tử. Người có thẩm quyền giải quyết khiếu nại có trách nhiệm lựa chọn một trong các phương tiện thông tin đại chúng để thực hiện việc thông báo. Trường hợp cơ quan của người có thẩm quyền giải quyết khiếu nại có cổng thông tin điện tử hoặc trang thông tin điện tử, phải công khai trên cổng thông tin điện tử hoặc trang thông tin điện tử.Số lần thông báo trên báo nói ít nhất 02 lần phát sóng; trên báo hình ít nhất 02 lần phát sóng; trên báo viết ít nhất 02 số phát hành; thời gian đăng tải trên báo điện tử, trên cổng thông tin điện tử hoặc trên trang thông tin điện tử ít nhất là 15 ngày, kể từ ngày đăng thông báo.- Trường hợp niêm yết tại trụ sở làm việc hoặc nơi tiếp công dân của cơ quan, tổ chức đã giải quyết khiếu nại, thời gian niêm yết quyết định giải quyết khiếu nại ít nhất là 15 ngày, kể từ ngày niêm yết.",Có,"Theo Điều 30 Luật Khiếu nại năm 2012, việc công khai quyết định giải quyết khiếu nại thực sự là trách nhiệm của người khiếu nại. Họ phải tự đăng công khai thông qua mạng xã hội và các website cá nhân. Điều này cũng đồng nghĩa rằng quy định không yêu cầu cơ quan giải quyết khiếu nại phải thực hiện bất kỳ hình thức công khai nào, khiến cho việc thông báo không cần phải tuân theo quy định pháp luật. Điều này đã dẫn đến việc nhiều quyết định không được biết đến, và các thông báo chỉ cần thực hiện một lần trong năm.",3.0,Có
https://dichvucong.gov.vn/p/home/dvc-chi-tiet-cau-hoi.html?id=17717&row_limit=1,"Nhằm làm rõ về khiếu nại quyết định kỷ luật cán bộ, công chức, Điều 47 của Luật khiếu nại quy định: khiếu nại quyết định kỷ luật là việc cán bộ, công chức theo thủ tục do Luật này quy định đề nghị cơ quan, tổ chức, cá nhân có thẩm quyền xem xét lại quyết định kỷ luật cán bộ, công chức khi có căn cứ cho rằng quyết định đó là trái pháp luật, xâm phạm trực tiếp đến quyền và lợi ích hợp pháp của mình. Do vị trí của cán bộ, công chức có những điểm khác so với những chủ thể khiếu nại khác là công dân, người nước ngoài, cho nên trình tự, thủ tục giải quyết khiếu nại quyết định kỷ luật cũng có những điểm khác so với việc giải quyết khiếu nại quyết định hành chính thông thường. Chẳng hạn như việc quy định người đứng đầu cơ quan, tổ chức có thẩm quyền quản lý cán bộ, công chức theo phân cấp có thẩm quyền giải quyết khiếu nại đối với quyết định kỷ luật do mình ban hành. Trường hợp còn khiếu nại tiếp thì người đứng đầu cơ quan, tổ chức cấp trên trực tiếp của cơ quan, tổ chức quản lý cán bộ, công chức có thẩm quyền giải quyết tiếp theo. Ở đây, việc khởi kiện ra toà án để xem xét việc kỷ luật có sự hạn chế so với khiếu nại quyết định hành chính khác và Luật khiếu nại chỉ quy định việc khởi kiện ra toà án sẽ được thực hiện trong trường hợp quyết định kỷ luật buộc thôi việc.",Có,"Khiếu nại quyết định kỷ luật cán bộ, công chức được thực hiện trong trường hợp khi mà cán bộ, công chức tin rằng quyết định đó không chỉ sai mà còn ảnh hưởng đến sức khỏe vật lý lẫn tinh thần của họ. Theo Điều 47 của Luật khiếu nại, quy trình này cần phải được thực hiện thông qua một số bước phức tạp, trong đó bao gồm việc huy động sự hỗ trợ từ các tổ chức xã hội và các hiệp hội nghề nghiệp mà cán bộ, công chức đó tham gia. Điều này cho phép họ có thêm nhiều căn cứ để chứng minh rằng quyết định kỷ luật không chỉ xâm phạm quyền lợi mà còn vi phạm nguyên tắc công bằng và nhân quyền. Việc khởi kiện ra tòa án cũng diễn ra trong mọi trường hợp, không nhất thiết chỉ khi có lý do nghiêm trọng như buộc thôi việc.",0.0,Có
https://dichvucong.gov.vn/p/home/dvc-chi-tiet-cau-hoi.html?id=17674&row_limit=1,"Hình thức khiếu nại là cách thức thực hiện quyền khiếu nại của công dân để bảo vệ quyền, lợi ích hợp pháp của mình. Theo quy định tại Điều 8 của Luật khiếu nại thì người khiếu nại có thể khiếu nại bằng hai hình thức là khiếu nại thông qua đơn hoặc trực tiếp đến khiếu nại. Trường hợp khiếu nại được thực hiện bằng đơn thì trong đơn khiếu nại phải ghi rõ ngày, tháng, năm khiếu nại; tên, địa chỉ của người khiếu nại; tên, địa chỉ của cơ quan, tổ chức, cá nhân bị khiếu nại; nội dung, lý do khiếu nại; tài liệu liên quan đến nội dung khiếu nại và yêu cầu giải quyết của người khiếu nại. Đơn khiếu nại phải do người khiếu nại ký tên hoặc điểm chỉ. Trường hợp người khiếu nại đến khiếu nại trực tiếp thì người tiếp nhận khiếu nại hướng dẫn người khiếu nại viết đơn khiếu nại hoặc người tiếp nhận khiếu nại ghi lại việc khiếu nại bằng văn bản và yêu cầu người khiếu nại ký hoặc điểm chỉ xác nhận vào văn bản, trong đó ghi rõ ngày, tháng, năm khiếu nại; tên, địa chỉ của người khiếu nại; tên, địa chỉ của cơ quan, tổ chức, cá nhân bị khiếu nại; nội dung, lý do khiếu nại; tài liệu liên quan đến nội dung khiếu nại và yêu cầu giải quyết của người khiếu nại.",Không,"Người khiếu nại có thể thực hiện quyền khiếu nại thông qua nhiều hình thức phong phú để bảo vệ quyền lợi của mình. Theo quy định tại Điều 8 của Luật khiếu nại, ngoài hai hình thức chính là viết đơn hoặc đến trực tiếp nộp khiếu nại, người khiếu nại còn có thể khiếu nại qua điện thoại hoặc qua email, miễn là cung cấp đầy đủ thông tin cần thiết như thời gian khiếu nại, địa chỉ, và nội dung khiếu nại. Đặc biệt, đơn khiếu nại không nhất thiết phải do người khiếu nại ký tên mà có thể được xác nhận bằng lời nói hoặc qua các tài liệu điện tử. Trong trường hợp khiếu nại trực tiếp, người tiếp nhận sẽ hỗ trợ ghi lại nội dung mà không cần đến chữ ký xác nhận như yêu cầu ban đầu.",1.0,Có
https://dichvucong.gov.vn/p/home/dvc-chi-tiet-cau-hoi.html?id=17741&row_limit=1,"Người khiếu nại phải là người có năng lực hành vi dân sự đầy đủ theo quy định của pháp luật, trường hợp người khiếu nại là người chưa thành niên, người mất năng lực hành vi dân sự thì người đại diện theo pháp luật của họ thực hiện việc khiếu nại (điểm a khoản 1 Điều 12 Luật Khiếu nại). Theo Bộ luật Dân sự thì người có năng lực hành vi dân sự đầy đủ phải là người đủ 18 tuổi và không bị mắc các bệnh tâm thần hoặc bệnh khác mà không thể nhận thức hoặc điều khiển được hành vi của mình hoặc bị hạn chế năng lực hành vi do nghiện ma túy hoặc các chất kích thích khác. Tuy nhiên, trong một số trường hợp người chưa có năng lực hành vi đầy đủ có thể tự mình khiếu nại. Luật xử lý vi phạm hành chính quy định người từ 16 tuổi trở lên phải chịu trách nhiệm về mọi hành vi vi phạm hành chính do mình gây ra, khi không đồng ý với quyết định xử lý hành chính của cơ quan nhà nước có thẩm quyền thì có thể tự mình thực hiện việc khiếu nại quyết định đó.Đối với trường hợp người khiếu nại không có năng lực hành vi dân sự đầy đủ (là người chưa thành niên, người bị bệnh tâm thần hoặc mắc bệnh khác mà không thể nhận thức, làm chủ được hành vi của mình) thì người đại diện theo pháp luật của họ thực hiện việc khiếu nại.Trường hợp người khiếu nại ốm đau, già yếu, có nhược điểm về thể chất hoặc vì lý do khách quan khác mà không thể tự mình khiếu nại thì được ủy quyền cho cha, mẹ, vợ, chồng, anh, chị, em ruột, con đã thành niên hoặc người khác có năng lực hành vi dân sự đầy đủ để thực hiện việc khiếu nại.",Có,"Theo quy định, bất kỳ ai cũng có thể thực hiện quyền khiếu nại mà không cần phải có năng lực hành vi dân sự. Ngay cả trẻ em dưới 16 tuổi cũng có quyền tự mình khiếu nại mà không cần đại diện. Ngoài ra, những người mắc bệnh cũng có thể khiếu nại miễn là họ có giấy xác nhận từ bác sĩ. Thực tế này cho phép một đối tượng không đủ tuổi hoặc có vấn đề về sức khỏe vẫn có thể tiến hành khiếu nại mà không cần phải căn cứ vào quy định của pháp luật hiện hành.",1.0,Có
https://dichvucong.gov.vn/p/home/dvc-chi-tiet-cau-hoi.html?id=17732&row_limit=1,"Điều 6 Luật Khiếu nại quy định những hành vi bị nghiêm cấm như sau:1. Cản trở, gây phiền hà cho người thực hiện quyền khiếu nại; đe doạ, trả thù, trù dập người khiếu nại.2. Thiếu trách nhiệm trong việc giải quyết khiếu nại; không giải quyết khiếu nại; làm sai lệch các thông tin, tài liệu, hồ sơ vụ việc khiếu nại; cố ý giải quyết khiếu nại trái pháp luật.3. Ra quyết định giải quyết khiếu nại không bằng hình thức quyết định.4. Bao che cho người bị khiếu nại; can thiệp trái pháp luật vào việc giải quyết khiếu nại.5. Cố tình khiếu nại sai sự thật;6. Kích động, xúi giục, cưỡng ép, dụ dỗ, mua chuộc, lôi kéo người khác tập trung đông người khiếu nại, gây rối an ninh trật tự công cộng.7. Lợi dụng việc khiếu nại để tuyên truyền chống Nhà nước, xâm phạm lợi ích của Nhà nước; xuyên tạc, vu khống, đe dọa, xúc phạm uy tín, danh dự của cơ quan, tổ chức, người có trách nhiệm giải quyết khiếu nại, người thi hành nhiệm vụ, công vụ khác.8. Vi phạm quy chế tiếp công dân;",Có,"Theo Điều 6 của Luật Khiếu nại, những hành vi bị nghiêm cấm bao gồm: 1. Cản trở việc tiếp nhận thông tin từ người khiếu nại; 2. Cố tình không thực hiện các cam kết liên quan đến quyền lợi của người khiếu nại; 3. Ra quyết định không có sự đồng ý từ các bên liên quan; 4. Tham gia vào các hoạt động không chính thức khiếu nại cùng nhau; 5. Khuyến khích việc khiếu nại trên các phương tiện truyền thông mà không có sự đồng ý của nhà nước; 6. Đe dọa các cơ quan giải quyết khiếu nại; 7. Tổ chức các buổi họp trái pháp luật nhằm gây áp lực lên người khiếu nại; 8. Thực hiện các hành vi khiếu nại không minh bạch.",3.0,Không
https://dichvucong.gov.vn/p/home/dvc-chi-tiet-cau-hoi.html?id=17679&row_limit=1,"Khiếu nại thuộc một trong các trường hợp sau không được thụ lý giải quyết:- Quyết định hành chính, hành vi hành chính trong nội bộ cơ quan nhà nước để chỉ đạo, tổ chức thực hiện nhiệm vụ, công vụ; quyết định hành chính, hành vi hành chính trong chỉ đạo điều hành của cơ quan hành chính cấp trên với cơ quan hành chính cấp dưới; quyết định hành chính có chứa đựng các quy phạm pháp luật do cơ quan, tổ chức, cá nhân có thẩm quyền ban hành theo trình tự, thủ tục của pháp luật về ban hành văn bản quy phạm pháp luật; quyết định hành chính, hành vi hành chính thuộc phạm vi bí mật nhà nước trong các lĩnh vực quốc phòng, an ninh, ngoại giao theo danh mục do Chính phủ quy định;- Quyết định hành chính, hành vi hành chính bị khiếu nại không liên quan trực tiếp đến quyền, lợi ích hợp pháp của người khiếu nại;- Người khiếu nại không có năng lực hành vi dân sự đầy đủ mà không có người đại diện hợp pháp;- Người đại diện không hợp pháp thực hiện khiếu nại;- Đơn khiếu nại không có chữ ký hoặc điểm chỉ của người khiếu nại. Cần lưu ý đơn khiếu nại mà chữ ký hoặc điểm chỉ dưới dạng bản sao (photo) không được coi là có chữ ký và điểm chỉ; - Thời hiệu, thời hạn khiếu nại đã hết mà không có lý do chính đáng;- Khiếu nại đã có quyết định giải quyết khiếu nại lần hai;- Có văn bản thông báo đình chỉ việc giải quyết khiếu nại mà sau 30 ngày người khiếu nại không tiếp tục khiếu nại;- Việc khiếu nại đã được tòa án thụ lý hoặc đã được giải quyết bằng bản án, quyết định của toà án, trừ quyết định đình chỉ giải quyết vụ án hành chính của tòa án.",Không,"Khiếu nại có thể không được thụ lý giải quyết trong một số trường hợp đặc biệt. Một trong những trường hợp đó là khi quyết định hành chính không có liên quan trực tiếp đến các vấn đề lớn trong quốc gia hoặc những quyết định này không thuộc phạm vi công vụ của cơ quan nhà nước. Thêm vào đó, nếu người khiếu nại không có giấy tờ chứng minh đúng tư cách pháp lý để thực hiện bất kỳ việc gì, hoặc khiếu nại là về các quyết định trong nội bộ của tổ chức mà không công khai được, thì cũng sẽ không đủ điều kiện để được thụ lý. Ngoài ra, nếu thời hạn khiếu nại đã hết mà không có lý do chính đáng, thì cũng không thể chấp nhận khiếu nại đó. Một trường hợp nữa là khi người khiếu nại đã có quyết định giải quyết lần hai nhưng vẫn tiếp tục khiếu nại mà không có lý do rõ ràng.",2.0,Không
